date,weather
7/1/2019,
7/2/2019,RA
7/3/2019,
7/4/2019,HZ
7/5/2019,BR
7/6/2019,
7/7/2019,
7/8/2019,RA
7/9/2019,
7/10/2019,
7/11/2019,RA BR
7/12/2019,BR
7/13/2019,
7/14/2019,
7/15/2019,
7/16/2019,
7/17/2019,RA FG BR
7/18/2019,RA FG BR
7/19/2019,
7/20/2019,
7/21/2019,RA
7/22/2019,RA FG BR
7/23/2019,RA BR
7/24/2019,RA BR
7/25/2019,
7/26/2019,
7/27/2019,
7/28/2019,RA
7/29/2019,
7/30/2019,RA
7/31/2019,RA FG BR
8/1/2019,BR
8/2/2019,
8/3/2019,RA BR
8/4/2019,BR
8/5/2019,
8/6/2019,RA BR HZ
8/7/2019,RA FG BR
8/8/2019,RA FG BR HZ
8/9/2019,RA BR
8/10/2019,
8/11/2019,
8/12/2019,
8/13/2019,RA BR
8/14/2019,BR HZ
8/15/2019,BR
8/16/2019,
8/17/2019,RA BR
8/18/2019,RA BR
8/19/2019,
8/20/2019,
8/21/2019,RA BR HZ
8/22/2019,RA FG BR
8/23/2019,RA BR
8/24/2019,
8/25/2019,
8/26/2019,
8/27/2019,
8/28/2019,RA BR
8/29/2019,
8/30/2019,
8/31/2019,
9/1/2019,
9/2/2019,RA BR
9/3/2019,
9/4/2019,
9/5/2019,
9/6/2019,RA FG BR
9/7/2019,RA BR
9/8/2019,
9/9/2019,RA
9/10/2019,RA BR
9/11/2019,
9/12/2019,RA BR HZ
9/13/2019,
9/14/2019,
9/15/2019,
9/16/2019,
9/17/2019,
9/18/2019,
9/19/2019,
9/20/2019,
9/21/2019,
9/22/2019,HZ
9/23/2019,RA BR
9/24/2019,
9/25/2019,
9/26/2019,RA
9/27/2019,
9/28/2019,
9/29/2019,
9/30/2019,
10/1/2019,
10/2/2019,RA BR
10/3/2019,RA BR
10/4/2019,RA BR
10/5/2019,
10/6/2019,RA
10/7/2019,RA BR
10/8/2019,RA BR
10/9/2019,RA BR
10/10/2019,
10/11/2019,
10/12/2019,
10/13/2019,
10/14/2019,
10/15/2019,
10/16/2019,RA BR
10/17/2019,
10/18/2019,
10/19/2019,
10/20/2019,RA FG BR
10/21/2019,
10/22/2019,RA BR
10/23/2019,RA BR
10/24/2019,
10/25/2019,
10/26/2019,RA
10/27/2019,RA FG BR
10/28/2019,
10/29/2019,RA BR
10/30/2019,RA BR
10/31/2019,RA BR
11/1/2019,RA BR
11/2/2019,
11/3/2019,
11/4/2019,
11/5/2019,
11/6/2019,
11/7/2019,RA BR
11/8/2019,
11/9/2019,
11/10/2019,
11/11/2019,
11/12/2019,RA
11/13/2019,
11/14/2019,
11/15/2019,
11/16/2019,
11/17/2019,
11/18/2019,RA BR UP
11/19/2019,RA BR
11/20/2019,
11/21/2019,
11/22/2019,RA BR
11/23/2019,RA
11/24/2019,RA BR
11/25/2019,
11/26/2019,
11/27/2019,RA
11/28/2019,
11/29/2019,
11/30/2019,
12/1/2019,RA FZRA SN BR UP
12/2/2019,RA SN FG BR
12/3/2019,SN BR
12/4/2019,RA HZ
12/5/2019,
12/6/2019,
12/7/2019,
12/8/2019,
12/9/2019,RA FG BR
12/10/2019,RA BR
12/11/2019,RA SN FG FZFG BR UP
12/12/2019,
12/13/2019,RA BR
12/14/2019,RA FG BR
12/15/2019,
12/16/2019,RA FZRA BR
12/17/2019,RA FZRA BR UP
12/18/2019,SN FZFG BR FG
12/19/2019,
12/20/2019,
12/21/2019,
12/22/2019,HZ
12/23/2019,
12/24/2019,
12/25/2019,
12/26/2019,BR
12/27/2019,
12/28/2019,BR HZ
12/29/2019,RA BR
12/30/2019,RA SN BR FG
12/31/2019,
1/1/2020,
1/2/2020,
1/3/2020,RA BR HZ
1/4/2020,RA FG BR
1/5/2020,RA
1/6/2020,SN BR
1/7/2020,
1/8/2020,SN
1/9/2020,
1/10/2020,
1/11/2020,
1/12/2020,RA
1/13/2020,HZ
1/14/2020,RA BR
1/15/2020,RA BR
1/16/2020,RA SN BR
1/17/2020,SN
1/18/2020,RA SN FZFG BR FG
1/19/2020,RA BR
1/20/2020,
1/21/2020,
1/22/2020,
1/23/2020,
1/24/2020,
1/25/2020,RA FG BR
1/26/2020,
1/27/2020,
1/28/2020,
1/29/2020,
1/30/2020,
1/31/2020,RA BR
2/1/2020,RA BR HZ
2/2/2020,RA SN BR
2/3/2020,BR
2/4/2020,RA
2/5/2020,RA BR
2/6/2020,RA BR
2/7/2020,RA BR UP
2/8/2020,
2/9/2020,
2/10/2020,RA BR
2/11/2020,RA BR
2/12/2020,RA BR
2/13/2020,RA BR UP
2/14/2020,
2/15/2020,
2/16/2020,
2/17/2020,
2/18/2020,BR
2/19/2020,
2/20/2020,
2/21/2020,
2/22/2020,
2/23/2020,
2/24/2020,
2/25/2020,RA BR HZ
2/26/2020,BR
2/27/2020,RA BR
2/28/2020,
2/29/2020,
3/1/2020,
3/2/2020,
3/3/2020,RA BR
3/4/2020,RA
3/5/2020,
3/6/2020,RA BR
3/7/2020,
3/8/2020,
3/9/2020,
3/10/2020,
3/11/2020,
3/12/2020,RA BR
3/13/2020,RA BR
3/14/2020,
3/15/2020,HZ
3/16/2020,
3/17/2020,RA BR
3/18/2020,
3/19/2020,RA BR
3/20/2020,RA BR HZ
3/21/2020,
3/22/2020,
3/23/2020,RA SN BR
3/24/2020,
3/25/2020,RA
3/26/2020,
3/27/2020,RA
3/28/2020,RA BR
3/29/2020,RA BR
3/30/2020,RA
3/31/2020,RA BR
4/1/2020,
4/2/2020,
4/3/2020,RA
4/4/2020,RA BR
4/5/2020,
4/6/2020,RA BR
4/7/2020,
4/8/2020,RA BR HZ
4/9/2020,RA BR
4/10/2020,RA
4/11/2020,
4/12/2020,
4/13/2020,RA BR
4/14/2020,RA
4/15/2020,RA
4/16/2020,
