Date,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailyWeather
7/1/2019,0,0,0,
7/2/2019,0.02,0,0,RA
7/3/2019,T,0,0,
7/4/2019,0,0,0,HZ
7/5/2019,0,0,0,BR
7/6/2019,T,0,0,
7/7/2019,0,0,0,
7/8/2019,0.04,0,0,RA
7/9/2019,0,0,0,
7/10/2019,0,0,0,
7/11/2019,0.79,0,0,RA BR
7/12/2019,0,0,0,BR
7/13/2019,0,0,0,
7/14/2019,0,0,0,
7/15/2019,0,0,0,
7/16/2019,0,0,0,
7/17/2019,1.82,0,0,RA FG BR
7/18/2019,0.51,0,0,RA FG BR
7/19/2019,0,0,0,
7/20/2019,0,0,0,
7/21/2019,T,0,0,RA
7/22/2019,1.66,0,0,RA FG BR
7/23/2019,0.53,0,0,RA BR
7/24/2019,0.02,0,0,RA BR
7/25/2019,0,0,0,
7/26/2019,0,0,0,
7/27/2019,0,0,0,
7/28/2019,0.01,0,0,RA
7/29/2019,0,0,0,
7/30/2019,0.01,0,0,RA
7/31/2019,0.36,0,0,RA FG BR
8/1/2019,0,0,0,BR
8/2/2019,0,0,0,
8/3/2019,0.21,0,0,RA BR
8/4/2019,0,0,0,BR
8/5/2019,0,0,0,
8/6/2019,0.04,0,0,RA BR HZ
8/7/2019,1.18,0,0,RA FG BR
8/8/2019,0.2,0,0,RA FG BR HZ
8/9/2019,0.08,0,0,RA BR
8/10/2019,0,0,0,
8/11/2019,0,0,0,
8/12/2019,0,0,0,
8/13/2019,0.07,0,0,RA BR
8/14/2019,T,0,0,BR HZ
8/15/2019,0,0,0,BR
8/16/2019,0,0,0,
8/17/2019,T,0,0,RA BR
8/18/2019,0.64,0,0,RA BR
8/19/2019,0,0,0,
8/20/2019,0,0,0,
8/21/2019,0.1,0,0,RA BR HZ
8/22/2019,1.01,0,0,RA FG BR
8/23/2019,0.09,0,0,RA BR
8/24/2019,0,0,0,
8/25/2019,0,0,0,
8/26/2019,0,0,0,
8/27/2019,0,0,0,
8/28/2019,0.08,0,0,RA BR
8/29/2019,0,0,0,
8/30/2019,0,0,0,
8/31/2019,0,0,0,
9/1/2019,0,0,0,
9/2/2019,0.3,0,0,RA BR
9/3/2019,0,0,0,
9/4/2019,0,0,0,
9/5/2019,0,0,0,
9/6/2019,0.32,0,0,RA FG BR
9/7/2019,0.02,0,0,RA BR
9/8/2019,0,0,0,
9/9/2019,T,0,0,RA
9/10/2019,0.01,0,0,RA BR
9/11/2019,0,0,0,
9/12/2019,0.17,0,0,RA BR HZ
9/13/2019,0,0,0,
9/14/2019,0,0,0,
9/15/2019,0,0,0,
9/16/2019,T,0,0,
9/17/2019,0,0,0,
9/18/2019,0,0,0,
9/19/2019,0,0,0,
9/20/2019,0,0,0,
9/21/2019,0,0,0,
9/22/2019,0,0,0,HZ
9/23/2019,0.11,0,0,RA BR
9/24/2019,0,0,0,
9/25/2019,0,0,0,
9/26/2019,0.02,0,0,RA
9/27/2019,0,0,0,
9/28/2019,0,0,0,
9/29/2019,0,0,0,
9/30/2019,0,0,0,
10/1/2019,0,0,0,
10/2/2019,0.03,0,0,RA BR
10/3/2019,0.34,0,0,RA BR
10/4/2019,T,0,0,RA BR
10/5/2019,0,0,0,
10/6/2019,0.01,0,0,RA
10/7/2019,0.2,0,0,RA BR
10/8/2019,0.02,0,0,RA BR
10/9/2019,0.54,0,0,RA BR
10/10/2019,T,0,0,
10/11/2019,0,0,0,
10/12/2019,0,0,0,
10/13/2019,T,0,0,
10/14/2019,0,0,0,
10/15/2019,0,0,0,
10/16/2019,1.83,0,0,RA BR
10/17/2019,0,0,0,
10/18/2019,0,0,0,
10/19/2019,0,0,0,
10/20/2019,0.54,0,0,RA FG BR
10/21/2019,T,0,0,
10/22/2019,0.57,0,0,RA BR
10/23/2019,0.01,0,0,RA BR
10/24/2019,0,0,0,
10/25/2019,0,0,0,
10/26/2019,0.01,0,0,RA
10/27/2019,1.38,0,0,RA FG BR
10/28/2019,0,0,0,
10/29/2019,0.07,0,0,RA BR
10/30/2019,0.06,0,0,RA BR
10/31/2019,0.54,0,0,RA BR
11/1/2019,0.11,0,0,RA BR
11/2/2019,0,0,0,
11/3/2019,0,0,0,
11/4/2019,0,0,0,
11/5/2019,0,0,0,
11/6/2019,0,0,0,
11/7/2019,0.1,0,0,RA BR
11/8/2019,0,0,0,
11/9/2019,0,0,0,
11/10/2019,0,0,0,
11/11/2019,0,0,0,
11/12/2019,0.04,0,0,RA
11/13/2019,0,0,0,
11/14/2019,0,0,0,
11/15/2019,0,0,0,
11/16/2019,0.00s,0,0,
11/17/2019,0,0,0,
11/18/2019,0.48,0,0,RA BR UP
11/19/2019,0.18,0,,RA BR
11/20/2019,0,0,0,
11/21/2019,0,0,0,
11/22/2019,0.07s,0,0,RA BR
11/23/2019,0.03,0,0,RA
11/24/2019,0.9,0,0,RA BR
11/25/2019,0,0,0,
11/26/2019,0,0,0,
11/27/2019,0.04,0,0,RA
11/28/2019,T,0,0,
11/29/2019,0,0,0,
11/30/2019,0,0,0,
12/1/2019,0.62,0,T,RA FZRA SN BR UP
12/2/2019,0.48,0,1.3,RA SN FG BR
12/3/2019,0.02,1,0.3,SN BR
12/4/2019,T,0,0,RA HZ
12/5/2019,0,0,0,
12/6/2019,0,0,0,
12/7/2019,0,0,0,
12/8/2019,0,0,0,
12/9/2019,1.57,0,0,RA FG BR
12/10/2019,0.13,0,0,RA BR
12/11/2019,0.26,T,0.2,RA SN FG FZFG BR UP
12/12/2019,0,0,0,
12/13/2019,0.81,0,0,RA BR
12/14/2019,1.16,0,0,RA FG BR
12/15/2019,0,0,0,
12/16/2019,0.1,0,0,RA FZRA BR
12/17/2019,0.9,0,0,RA FZRA BR UP
12/18/2019,0.03,0,0.7,SN FZFG BR FG
12/19/2019,0,T,0,
12/20/2019,0,T,0,
12/21/2019,0,0,0,
12/22/2019,0,0,0,HZ
12/23/2019,0,0,0,
12/24/2019,0,0,0,
12/25/2019,0,0,0,
12/26/2019,0,0,0,BR
12/27/2019,0,0,0,
12/28/2019,0,0,0,BR HZ
12/29/2019,0.25,0,0,RA BR
12/30/2019,0.74,0,T,RA SN BR FG
12/31/2019,0.02,0,0,
1/1/2020,0,0,0,
1/2/2020,0,0,0,
1/3/2020,0.15,0,0,RA BR HZ
1/4/2020,0.27,0,0,RA FG BR
1/5/2020,T,0,0,RA
1/6/2020,0.04,0,0.2,SN BR
1/7/2020,T,0,0,
1/8/2020,T,0,T,SN
1/9/2020,0,0,0,
1/10/2020,0,0,0,
1/11/2020,0,0,0,
1/12/2020,0.05,0,0,RA
1/13/2020,0,0,0,HZ
1/14/2020,0.07,0,0,RA BR
1/15/2020,T,0,0,RA BR
1/16/2020,0.11,0,T,RA SN BR
1/17/2020,0,0,0,SN
1/18/2020,0.37,0,2.1,RA SN FZFG BR FG
1/19/2020,T,1,0,RA BR
1/20/2020,0,0,0,
1/21/2020,0,0,0,
1/22/2020,0,0,0,
1/23/2020,0,0,0,
1/24/2020,0,0,0,
1/25/2020,0.85,0,0,RA FG BR
1/26/2020,0,0,0,
1/27/2020,0,0,0,
1/28/2020,0,0,0,
1/29/2020,0,0,0,
1/30/2020,0,0,0,
1/31/2020,0.02,0,0,RA BR
2/1/2020,T,0,0,RA BR HZ
2/2/2020,0.07,0,T,RA SN BR
2/3/2020,0,0,0,BR
2/4/2020,T,0,0,RA
2/5/2020,T,0,0,RA BR
2/6/2020,0.51,0,0,RA BR
2/7/2020,0.25,0,T,RA BR UP
2/8/2020,0,0,0,
2/9/2020,0,0,0,
2/10/2020,0.37,0,0,RA BR
2/11/2020,0.28,0,0,RA BR
2/12/2020,0.13,0,0,RA BR
2/13/2020,0.39,0,0,RA BR UP
2/14/2020,0,0,0,
2/15/2020,0,0,0,
2/16/2020,0,0,0,
2/17/2020,0,0,0,
2/18/2020,T,0,0,BR
2/19/2020,0,0,0,
2/20/2020,0,0,0,
2/21/2020,0,0,0,
2/22/2020,0,0,0,
